"May 20, Predicted 19th BEST:",,SPIRE,ECMWF,ECMWF,ECMWF,,,,,,,,,,,,
PWG,AVARAGE,,PWE,AVARAGE,,ECMWF,AVARAGE,,GFS,AVARAGE,,SPIRE,AVARAGE,,UKMO,AVARAGE,
Center Name/ Time,,,Center Name/ Time,,,Center Name/ Time,,,Center Name/ Time,,,Center Name/ Time,,,Center Name/ Time,,
W29,6.12,,W29,6.12,,W29,1.12,,W29,0.33,,W29,2.76,,W29,1.48,
TPLM2,5.48,,TPLM2,3.8,,TPLM2,4.46,,TPLM2,4.35,,TPLM2,2,,TPLM2,4.52,
"Gooses Reef, MD",5.62,,"Gooses Reef, MD",1.3,,"Gooses Reef, MD",4.88,,"Gooses Reef, MD",2.72,,"Gooses Reef, MD",3.62,,"Gooses Reef, MD",1.84,
NHK,4.76,,NHK,4.8,,NHK,2.26,,NHK,1.85,,NHK,2.14,,NHK,4.42,
"Bishops Head, MD",5.48,,"Bishops Head, MD",3.8,,"Bishops Head, MD",4.46,,"Bishops Head, MD",4.35,,"Bishops Head, MD",2,,"Bishops Head, MD",4.52,
"Potomac, MD",5.22,,"Potomac, MD",3.4,,"Potomac, MD",2.24,,"Potomac, MD",3.42,,"Potomac, MD",2.14,,"Potomac, MD",1.66,
TGI,4.58,,TGI,1.96,,TGI,3.36,,TGI,3.6,,TGI,2.62,,TGI,2.2,
Rappahannock Light,2.8,,Rappahannock Light,2.84,,Rappahannock Light,2.98,,Rappahannock Light,1.13,,Rappahannock Light,1.16,,Rappahannock Light,1.62,
"Kiptopeke, VA",2.96,4.78%,"Kiptopeke, VA",5.3,3.70%,"Kiptopeke, VA",2.06,3.09%,"Kiptopeke, VA",2.63,2.71%,"Kiptopeke, VA",2.88,2.37%,"Kiptopeke, VA",3.8,2.90%
Chesapeake Bay,6.12,,Chesapeake Bay,6.12,,Chesapeake Bay,1.12,,Chesapeake Bay,0.33,,Chesapeake Bay,2.76,,Chesapeake Bay,1.48,
"Wachapreague, VA",2.54,,"Wachapreague, VA",1.32,,"Wachapreague, VA",0.64,,"Wachapreague, VA",3.38,,"Wachapreague, VA",5.32,,"Wachapreague, VA",3.22,
DELAWARE BAY 26,5.48,,DELAWARE BAY 26,3.8,,DELAWARE BAY 26,4.46,,DELAWARE BAY 26,4.35,,DELAWARE BAY 26,2,,DELAWARE BAY 26,4.52,
44066,5.48,4.91%,44066,3.8,3.76%,44066,4.46,2.67%,44066,4.35,3.10%,44066,2,3.02%,44066,4.52,3.44%
ATLANTICCITYINNJ,6.12,,ATLANTICCITYINNJ,6.12,,ATLANTICCITYINNJ,1.12,,ATLANTICCITYINNJ,0.33,,ATLANTICCITYINNJ,2.76,,ATLANTICCITYINNJ,1.48,
Texas Tower #4 - 75,2.54,,Texas Tower #4 - 75,1.32,,Texas Tower #4 - 75,0.64,,Texas Tower #4 - 75,3.38,,Texas Tower #4 - 75,5.32,,Texas Tower #4 - 75,3.22,
Nick,6.88,5.18%,Nick,12.7,6.71%,Nick,2.22,1.33%,Nick,2.95,2.22%,Nick,1.6,3.23%,Nick,3.04,2.58%
ISP,4.08,,ISP,7.06,,ISP,0.32,,ISP,4.35,,ISP,3.02,,ISP,2.26,
BLOCKISLANDRI,5.48,4.78%,BLOCKISLANDRI,3.8,5.43%,BLOCKISLANDRI,4.46,2.39%,BLOCKISLANDRI,1.1,2.73%,BLOCKISLANDRI,2,2.51%,BLOCKISLANDRI,4.52,3.39%
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"May 21, Predicted 19th BEST:",,ECMWF,ECMWF,ECMWF,ECMWF,,,,,,,,,,,,
PWG,AVARAGE,,PWE,AVARAGE,,ECMWF,AVARAGE,,GFS,AVARAGE,,SPIRE,AVARAGE,,UKMO,AVARAGE,
Center Name/ Time,,,Center Name/ Time,,,Center Name/ Time,,,Center Name/ Time,,,Center Name/ Time,,,Center Name/ Time,,
W29,3.5,,W29,15.57,,W29,2.68,,W29,0.52,,W29,10.75,,W29,3.47,
TPLM2,1.8,,TPLM2,10.68,,TPLM2,2.08,,TPLM2,4.1,,TPLM2,3.62,,TPLM2,5.58,
"Gooses Reef, MD",3.62,,"Gooses Reef, MD",7.82,,"Gooses Reef, MD",3.05,,"Gooses Reef, MD",2.52,,"Gooses Reef, MD",0.65,,"Gooses Reef, MD",1.22,
NHK,4.45,,NHK,11.12,,NHK,3.33,,NHK,1.9,,NHK,0.92,,NHK,1.73,
"Bishops Head, MD",1.8,,"Bishops Head, MD",10.68,,"Bishops Head, MD",2.08,,"Bishops Head, MD",4.1,,"Bishops Head, MD",3.62,,"Bishops Head, MD",5.58,
"Potomac, MD",1.05,,"Potomac, MD",4.7,,"Potomac, MD",0.83,,"Potomac, MD",3.28,,"Potomac, MD",2.43,,"Potomac, MD",1.88,
TGI,2.22,,TGI,6.9,,TGI,1.25,,TGI,2.48,,TGI,0.35,,TGI,2.53,
Rappahannock Light,8.52,,Rappahannock Light,11.18,,Rappahannock Light,0.58,,Rappahannock Light,1.42,,Rappahannock Light,7.73,,Rappahannock Light,1.23,
"Kiptopeke, VA",4.72,3.52%,"Kiptopeke, VA",6.25,9.43%,"Kiptopeke, VA",1.1,1.89%,"Kiptopeke, VA",1.85,2.46%,"Kiptopeke, VA",2.12,3.58%,"Kiptopeke, VA",3.78,3.00%
Chesapeake Bay,3.5,,Chesapeake Bay,15.57,,Chesapeake Bay,2.68,,Chesapeake Bay,0.52,,Chesapeake Bay,10.75,,Chesapeake Bay,3.47,
"Wachapreague, VA",8,,"Wachapreague, VA",13.55,,"Wachapreague, VA",0.9,,"Wachapreague, VA",5.93,,"Wachapreague, VA",3.35,,"Wachapreague, VA",6.07,
DELAWARE BAY 26,1.8,,DELAWARE BAY 26,10.68,,DELAWARE BAY 26,2.08,,DELAWARE BAY 26,4.1,,DELAWARE BAY 26,3.62,,DELAWARE BAY 26,5.58,
44066,1.8,3.78%,44066,10.68,12.62%,44066,2.08,1.93%,44066,4.1,3.66%,44066,3.62,5.34%,44066,5.58,5.18%
ATLANTICCITYINNJ,3.5,,ATLANTICCITYINNJ,15.57,,ATLANTICCITYINNJ,2.68,,ATLANTICCITYINNJ,0.52,,ATLANTICCITYINNJ,10.75,,ATLANTICCITYINNJ,3.47,
Texas Tower #4 - 75,8,,Texas Tower #4 - 75,13.55,,Texas Tower #4 - 75,0.9,,Texas Tower #4 - 75,5.93,,Texas Tower #4 - 75,3.35,,Texas Tower #4 - 75,6.07,
Nick,2.7,4.73%,Nick,2.95,10.69%,Nick,2.88,2.15%,Nick,2.83,3.09%,Nick,0.8,4.97%,Nick,1.5,3.68%
ISP,8.5,,ISP,15.27,,ISP,2.04,,ISP,0.28,,ISP,9.05,,ISP,3.28,
BLOCKISLANDRI,1.8,5.15%,BLOCKISLANDRI,10.68,12.98%,BLOCKISLANDRI,2.08,2.06%,BLOCKISLANDRI,4.1,2.19%,BLOCKISLANDRI,3.62,6.34%,BLOCKISLANDRI,5.58,4.43%
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"May 21, Predicted 20th BEST:",,SPIRE,GFS,PWG,GFS,,,,,,,,,,,,
PWG,AVARAGE,,PWE,AVARAGE,,ECMWF,AVARAGE,,GFS,AVARAGE,,SPIRE,AVARAGE,,UKMO,AVARAGE,
Center Name/ Time,,,Center Name/ Time,,,Center Name/ Time,,,Center Name/ Time,,,Center Name/ Time,,,Center Name/ Time,,
W29,1.92,,W29,5.68,,W29,3.45,,W29,1.28,,W29,3.65,,W29,0.9,
TPLM2,2,,TPLM2,2.53,,TPLM2,2.33,,TPLM2,1.57,,TPLM2,1.33,,TPLM2,7.22,
"Gooses Reef, MD",4.22,,"Gooses Reef, MD",7.57,,"Gooses Reef, MD",2.5,,"Gooses Reef, MD",2.47,,"Gooses Reef, MD",1.15,,"Gooses Reef, MD",0.88,
NHK,0.65,,NHK,3.12,,NHK,0.48,,NHK,1.5,,NHK,0.67,,NHK,1.15,
"Bishops Head, MD",2,,"Bishops Head, MD",2.53,,"Bishops Head, MD",2.33,,"Bishops Head, MD",1.57,,"Bishops Head, MD",1.33,,"Bishops Head, MD",7.22,
"Potomac, MD",2,,"Potomac, MD",3.12,,"Potomac, MD",1.33,,"Potomac, MD",1.87,,"Potomac, MD",0.87,,"Potomac, MD",2.2,
TGI,1.93,,TGI,3.73,,TGI,0.63,,TGI,2.37,,TGI,0.5,,TGI,1.25,
Rappahannock Light,0.7,,Rappahannock Light,2.62,,Rappahannock Light,1.95,,Rappahannock Light,0.82,,Rappahannock Light,2.55,,Rappahannock Light,0.95,
"Kiptopeke, VA",0.95,1.82%,"Kiptopeke, VA",0.97,3.54%,"Kiptopeke, VA",0.6,1.73%,"Kiptopeke, VA",1.57,1.67%,"Kiptopeke, VA",2.02,1.56%,"Kiptopeke, VA",1.85,2.62%
Chesapeake Bay,1.92,,Chesapeake Bay,5.68,,Chesapeake Bay,3.45,,Chesapeake Bay,1.28,,Chesapeake Bay,3.65,,Chesapeake Bay,0.9,
"Wachapreague, VA",2.15,,"Wachapreague, VA",3.77,,"Wachapreague, VA",1.58,,"Wachapreague, VA",3.6,,"Wachapreague, VA",2.32,,"Wachapreague, VA",2.07,
DELAWARE BAY 26,2,,DELAWARE BAY 26,2.53,,DELAWARE BAY 26,2.33,,DELAWARE BAY 26,1.57,,DELAWARE BAY 26,1.33,,DELAWARE BAY 26,7.22,
44066,2,2.02%,44066,2.53,3.63%,44066,2.33,2.42%,44066,1.57,2.01%,44066,1.33,2.16%,44066,7.22,4.35%
ATLANTICCITYINNJ,1.92,,ATLANTICCITYINNJ,5.68,,ATLANTICCITYINNJ,3.45,,ATLANTICCITYINNJ,1.28,,ATLANTICCITYINNJ,3.65,,ATLANTICCITYINNJ,0.9,
Texas Tower #4 - 75,2.15,,Texas Tower #4 - 75,3.77,,Texas Tower #4 - 75,1.58,,Texas Tower #4 - 75,3.6,,Texas Tower #4 - 75,2.32,,Texas Tower #4 - 75,2.07,
Nick,1.45,1.84%,Nick,1.87,3.77%,Nick,1.07,2.03%,Nick,1.27,2.05%,Nick,0.88,2.28%,Nick,2.85,1.94%
ISP,1.25,,ISP,5.6,,ISP,2.73,,ISP,1.12,,ISP,3,,ISP,0.67,
BLOCKISLANDRI,2,1.63%,BLOCKISLANDRI,2.53,4.06%,BLOCKISLANDRI,2.33,2.53%,BLOCKISLANDRI,1.57,1.35%,BLOCKISLANDRI,1.33,2.17%,BLOCKISLANDRI,7.22,3.95%
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"May 22, Predicted 19th BEST:",,GFS,ECMWF,ECMWF,ECMWF,,,,,,,,,,,,
PWG,AVARAGE,,PWE,AVARAGE,,ECMWF,AVARAGE,,GFS,AVARAGE,,SPIRE,AVARAGE,,UKMO,AVARAGE,
Center Name/ Time,,,Center Name/ Time,,,Center Name/ Time,,,Center Name/ Time,,,Center Name/ Time,,,Center Name/ Time,,
W29,0.4,,W29,13.76,,W29,2.93,,W29,2.82,,W29,5.12,,W29,7.12,
TPLM2,14,,TPLM2,14.48,,TPLM2,1.58,,TPLM2,2.34,,TPLM2,4.88,,TPLM2,4.25,
"Gooses Reef, MD",0.5,,"Gooses Reef, MD",3.58,,"Gooses Reef, MD",2.03,,"Gooses Reef, MD",1.46,,"Gooses Reef, MD",0.83,,"Gooses Reef, MD",2.25,
NHK,5.6,,NHK,11.56,,NHK,1.97,,NHK,1,,NHK,8.2,,NHK,2.37,
"Bishops Head, MD",14,,"Bishops Head, MD",14.48,,"Bishops Head, MD",1.58,,"Bishops Head, MD",2.34,,"Bishops Head, MD",4.88,,"Bishops Head, MD",4.25,
"Potomac, MD",6,,"Potomac, MD",4.08,,"Potomac, MD",1,,"Potomac, MD",0.78,,"Potomac, MD",0.93,,"Potomac, MD",1.53,
TGI,2.7,,TGI,4.48,,TGI,1.33,,TGI,0.94,,TGI,0.6,,TGI,2.02,
Rappahannock Light,1.9,,Rappahannock Light,17.62,,Rappahannock Light,2.52,,Rappahannock Light,3.16,,Rappahannock Light,4.03,,Rappahannock Light,5.55,
"Kiptopeke, VA",3,5.34%,"Kiptopeke, VA",9,10.34%,"Kiptopeke, VA",3.6,2.06%,"Kiptopeke, VA",1.02,1.76%,"Kiptopeke, VA",7.32,4.09%,"Kiptopeke, VA",1.48,3.42%
Chesapeake Bay,0.4,,Chesapeake Bay,13.76,,Chesapeake Bay,2.93,,Chesapeake Bay,2.82,,Chesapeake Bay,5.12,,Chesapeake Bay,7.12,
"Wachapreague, VA",8.7,,"Wachapreague, VA",14.08,,"Wachapreague, VA",1.55,,"Wachapreague, VA",3.42,,"Wachapreague, VA",8.63,,"Wachapreague, VA",5.2,
DELAWARE BAY 26,14,,DELAWARE BAY 26,14.48,,DELAWARE BAY 26,1.58,,DELAWARE BAY 26,2.34,,DELAWARE BAY 26,4.88,,DELAWARE BAY 26,4.25,
44066,14,9.28%,44066,14.48,14.20%,44066,1.58,1.91%,44066,2.34,2.73%,44066,4.88,5.88%,44066,4.25,5.21%
ATLANTICCITYINNJ,0.4,,ATLANTICCITYINNJ,13.76,,ATLANTICCITYINNJ,2.93,,ATLANTICCITYINNJ,2.82,,ATLANTICCITYINNJ,5.12,,ATLANTICCITYINNJ,7.12,
Texas Tower #4 - 75,8.7,,Texas Tower #4 - 75,14.08,,Texas Tower #4 - 75,1.55,,Texas Tower #4 - 75,3.42,,Texas Tower #4 - 75,8.63,,Texas Tower #4 - 75,5.2,
Nick,1.3,3.47%,Nick,2.84,10.23%,Nick,1.35,1.94%,Nick,1.14,2.46%,Nick,2.82,5.52%,Nick,2.78,5.03%
ISP,3.7,,ISP,14.62,,ISP,2.5,,ISP,2.95,,ISP,3.37,,ISP,6.15,
BLOCKISLANDRI,14,8.85%,BLOCKISLANDRI,14.48,14.55%,BLOCKISLANDRI,1.58,2.04%,BLOCKISLANDRI,2.34,2.65%,BLOCKISLANDRI,4.88,4.13%,BLOCKISLANDRI,4.25,5.20%
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"May 22, Predicted 20th BEST:",,GFS,GFS,GFS,GFS,,,,,,,,,,,,
PWG,AVARAGE,,PWE,AVARAGE,,ECMWF,AVARAGE,,GFS,AVARAGE,,SPIRE,AVARAGE,,UKMO,AVARAGE,
Center Name/ Time,,,Center Name/ Time,,,Center Name/ Time,,,Center Name/ Time,,,Center Name/ Time,,,Center Name/ Time,,
W29,7.8,,W29,5.28,,W29,5.97,,W29,3.22,,W29,5.52,,W29,4.04,
TPLM2,9.3,,TPLM2,5.74,,TPLM2,3,,TPLM2,2.9,,TPLM2,7.15,,TPLM2,4.86,
"Gooses Reef, MD",0.6,,"Gooses Reef, MD",3.9,,"Gooses Reef, MD",0.53,,"Gooses Reef, MD",1.28,,"Gooses Reef, MD",0.67,,"Gooses Reef, MD",1.3,
NHK,0.3,,NHK,1.38,,NHK,3.92,,NHK,1.18,,NHK,4.47,,NHK,0.92,
"Bishops Head, MD",9.3,,"Bishops Head, MD",5.74,,"Bishops Head, MD",3,,"Bishops Head, MD",2.9,,"Bishops Head, MD",7.15,,"Bishops Head, MD",4.86,
"Potomac, MD",2.2,,"Potomac, MD",1.44,,"Potomac, MD",0.55,,"Potomac, MD",1.32,,"Potomac, MD",0.68,,"Potomac, MD",2.14,
TGI,0.8,,TGI,3.24,,TGI,0.67,,TGI,1.8,,TGI,0.62,,TGI,2.46,
Rappahannock Light,1.7,,Rappahannock Light,4.44,,Rappahannock Light,4.57,,Rappahannock Light,3,,Rappahannock Light,4.58,,Rappahannock Light,3.48,
"Kiptopeke, VA",0.5,3.61%,"Kiptopeke, VA",4.5,3.96%,"Kiptopeke, VA",4.9,3.01%,"Kiptopeke, VA",2,2.18%,"Kiptopeke, VA",4.72,3.95%,"Kiptopeke, VA",3.24,3.03%
Chesapeake Bay,7.8,,Chesapeake Bay,5.28,,Chesapeake Bay,5.97,,Chesapeake Bay,3.22,,Chesapeake Bay,5.52,,Chesapeake Bay,4.04,
"Wachapreague, VA",5.4,,"Wachapreague, VA",2.92,,"Wachapreague, VA",3.07,,"Wachapreague, VA",3.1,,"Wachapreague, VA",5.52,,"Wachapreague, VA",4.12,
DELAWARE BAY 26,9.3,,DELAWARE BAY 26,5.74,,DELAWARE BAY 26,3,,DELAWARE BAY 26,2.9,,DELAWARE BAY 26,7.15,,DELAWARE BAY 26,4.86,
44066,9.3,7.95%,44066,5.74,4.92%,44066,3,3.76%,44066,2.9,3.03%,44066,7.15,6.34%,44066,4.86,4.47%
ATLANTICCITYINNJ,7.8,,ATLANTICCITYINNJ,5.28,,ATLANTICCITYINNJ,5.97,,ATLANTICCITYINNJ,3.22,,ATLANTICCITYINNJ,5.52,,ATLANTICCITYINNJ,4.04,
Texas Tower #4 - 75,5.4,,Texas Tower #4 - 75,2.92,,Texas Tower #4 - 75,3.07,,Texas Tower #4 - 75,3.1,,Texas Tower #4 - 75,5.52,,Texas Tower #4 - 75,4.12,
Nick,2.1,5.10%,Nick,2.6,3.60%,Nick,0.78,3.27%,Nick,1.94,2.75%,Nick,1.88,4.31%,Nick,0.96,3.04%
ISP,5.7,,ISP,5.62,,ISP,5,,ISP,2.7,,ISP,4.22,,ISP,2.6,
BLOCKISLANDRI,9.3,7.50%,BLOCKISLANDRI,5.74,5.68%,BLOCKISLANDRI,3,4.00%,BLOCKISLANDRI,2.9,2.80%,BLOCKISLANDRI,7.15,5.69%,BLOCKISLANDRI,4.86,3.73%
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"May 22, Predicted 21th BEST:",,SPIRE,SPIRE,SPIRE,SPIRE,,,,,,,,,,,,
PWG,AVARAGE,,PWE,AVARAGE,,ECMWF,AVARAGE,,GFS,AVARAGE,,SPIRE,AVARAGE,,UKMO,AVARAGE,
Center Name/ Time,,,Center Name/ Time,,,Center Name/ Time,,,Center Name/ Time,,,Center Name/ Time,,,Center Name/ Time,,
W29,2.4,,W29,0.1,,W29,6.37,,W29,5.32,,W29,1.43,,W29,3.22,
TPLM2,5.9,,TPLM2,1.4,,TPLM2,0.77,,TPLM2,4.68,,TPLM2,0.7,,TPLM2,2.15,
"Gooses Reef, MD",2,,"Gooses Reef, MD",0,,"Gooses Reef, MD",0.43,,"Gooses Reef, MD",1.3,,"Gooses Reef, MD",1.03,,"Gooses Reef, MD",1.2,
NHK,0.9,,NHK,0.7,,NHK,0.9,,NHK,1,,NHK,0.5,,NHK,0.72,
"Bishops Head, MD",5.9,,"Bishops Head, MD",1.4,,"Bishops Head, MD",0.77,,"Bishops Head, MD",4.68,,"Bishops Head, MD",0.7,,"Bishops Head, MD",2.15,
"Potomac, MD",4.7,,"Potomac, MD",1.7,,"Potomac, MD",0.73,,"Potomac, MD",1.26,,"Potomac, MD",0.97,,"Potomac, MD",1.05,
TGI,1.8,,TGI,3.9,,TGI,0.33,,TGI,1.64,,TGI,0.57,,TGI,0.73,
Rappahannock Light,8.7,,Rappahannock Light,2.2,,Rappahannock Light,3.42,,Rappahannock Light,2.3,,Rappahannock Light,1.13,,Rappahannock Light,3.27,
"Kiptopeke, VA",3.1,3.93%,"Kiptopeke, VA",0.8,1.36%,"Kiptopeke, VA",1.43,1.68%,"Kiptopeke, VA",0.88,2.56%,"Kiptopeke, VA",0.5,0.84%,"Kiptopeke, VA",1,1.72%
Chesapeake Bay,2.4,,Chesapeake Bay,0.1,,Chesapeake Bay,6.37,,Chesapeake Bay,5.32,,Chesapeake Bay,1.43,,Chesapeake Bay,3.22,
"Wachapreague, VA",5.8,,"Wachapreague, VA",5.4,,"Wachapreague, VA",3.02,,"Wachapreague, VA",7.84,,"Wachapreague, VA",1.85,,"Wachapreague, VA",0.77,
DELAWARE BAY 26,5.9,,DELAWARE BAY 26,1.4,,DELAWARE BAY 26,0.77,,DELAWARE BAY 26,4.68,,DELAWARE BAY 26,0.7,,DELAWARE BAY 26,2.15,
44066,5.9,5.00%,44066,1.4,2.08%,44066,0.77,2.73%,44066,4.68,5.63%,44066,0.7,1.17%,44066,2.15,2.07%
ATLANTICCITYINNJ,2.4,,ATLANTICCITYINNJ,0.1,,ATLANTICCITYINNJ,6.37,,ATLANTICCITYINNJ,5.32,,ATLANTICCITYINNJ,1.43,,ATLANTICCITYINNJ,3.22,
Texas Tower #4 - 75,5.8,,Texas Tower #4 - 75,5.4,,Texas Tower #4 - 75,3.02,,Texas Tower #4 - 75,7.84,,Texas Tower #4 - 75,1.85,,Texas Tower #4 - 75,0.77,
Nick,1.2,3.13%,Nick,2.6,2.70%,Nick,0.7,3.36%,Nick,0.98,4.71%,Nick,0.53,1.27%,Nick,0.67,1.55%
ISP,4.4,,ISP,0.7,,ISP,4.42,,ISP,4.72,,ISP,1.3,,ISP,2.02,
BLOCKISLANDRI,5.9,5.15%,BLOCKISLANDRI,1.4,1.05%,BLOCKISLANDRI,0.77,2.60%,BLOCKISLANDRI,4.68,4.70%,BLOCKISLANDRI,0.7,1.00%,BLOCKISLANDRI,2.15,2.09%
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"May 23, Predicted 20th BEST:",,ECMWF,GFS,SPIRE,ECMWF,,,,,,,,,,,,
PWG,AVARAGE,,PWE,AVARAGE,,ECMWF,AVARAGE,,GFS,AVARAGE,,SPIRE,AVARAGE,,UKMO,AVARAGE,
Center Name/ Time,,,Center Name/ Time,,,Center Name/ Time,,,Center Name/ Time,,,Center Name/ Time,,,Center Name/ Time,,
W29,3.13,,W29,5.56,,W29,2.62,,W29,6.13,,W29,3.43,,W29,4.17,
TPLM2,8.5,,TPLM2,14.08,,TPLM2,2.18,,TPLM2,0.47,,TPLM2,5.2,,TPLM2,3.43,
"Gooses Reef, MD",1.12,,"Gooses Reef, MD",1.76,,"Gooses Reef, MD",1.13,,"Gooses Reef, MD",0.4,,"Gooses Reef, MD",0.72,,"Gooses Reef, MD",1.43,
NHK,1.43,,NHK,5.98,,NHK,0.5,,NHK,7.92,,NHK,3.28,,NHK,2.7,
"Bishops Head, MD",8.5,,"Bishops Head, MD",14.08,,"Bishops Head, MD",2.18,,"Bishops Head, MD",0.47,,"Bishops Head, MD",5.2,,"Bishops Head, MD",3.43,
"Potomac, MD",2.38,,"Potomac, MD",0.74,,"Potomac, MD",3.9,,"Potomac, MD",2.15,,"Potomac, MD",2.67,,"Potomac, MD",5.4,
TGI,1,,TGI,1.62,,TGI,1.9,,TGI,1.5,,TGI,2.33,,TGI,3.57,
Rappahannock Light,3.37,,Rappahannock Light,8.64,,Rappahannock Light,6.77,,Rappahannock Light,7.83,,Rappahannock Light,1.07,,Rappahannock Light,6.23,
"Kiptopeke, VA",2.75,3.58%,"Kiptopeke, VA",6.82,6.59%,"Kiptopeke, VA",1.18,2.48%,"Kiptopeke, VA",6.2,3.67%,"Kiptopeke, VA",4.33,3.14%,"Kiptopeke, VA",10.9,4.58%
Chesapeake Bay,3.13,,Chesapeake Bay,5.56,,Chesapeake Bay,2.62,,Chesapeake Bay,6.13,,Chesapeake Bay,3.43,,Chesapeake Bay,4.17,
"Wachapreague, VA",10,,"Wachapreague, VA",5.66,,"Wachapreague, VA",6.55,,"Wachapreague, VA",2.2,,"Wachapreague, VA",4.87,,"Wachapreague, VA",3.03,
DELAWARE BAY 26,8.5,,DELAWARE BAY 26,14.08,,DELAWARE BAY 26,2.18,,DELAWARE BAY 26,0.47,,DELAWARE BAY 26,5.2,,DELAWARE BAY 26,3.43,
44066,8.5,7.53%,44066,14.08,9.84%,44066,2.18,3.38%,44066,0.47,2.32%,44066,5.2,4.68%,44066,3.43,3.52%
ATLANTICCITYINNJ,3.13,,ATLANTICCITYINNJ,5.56,,ATLANTICCITYINNJ,2.62,,ATLANTICCITYINNJ,6.13,,ATLANTICCITYINNJ,3.43,,ATLANTICCITYINNJ,4.17,
Texas Tower #4 - 75,10,,Texas Tower #4 - 75,5.66,,Texas Tower #4 - 75,6.55,,Texas Tower #4 - 75,2.2,,Texas Tower #4 - 75,4.87,,Texas Tower #4 - 75,3.03,
Nick,5.08,6.07%,Nick,1.38,4.20%,Nick,3.3,4.16%,Nick,3.6,3.98%,Nick,0.7,3.00%,Nick,2.63,3.28%
ISP,5.12,,ISP,7.52,,ISP,3.23,,ISP,7.37,,ISP,2.95,,ISP,4.2,
BLOCKISLANDRI,8.5,6.81%,BLOCKISLANDRI,14.08,10.80%,BLOCKISLANDRI,2.18,2.71%,BLOCKISLANDRI,0.47,3.92%,BLOCKISLANDRI,5.2,4.08%,BLOCKISLANDRI,3.43,3.82%
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"May 23, Predicted 21st BEST:",,SPIRE,UKMO,UKMO,UKMO,,,,,,,,,,,,
PWG,AVARAGE,,PWE,AVARAGE,,ECMWF,AVARAGE,,GFS,AVARAGE,,SPIRE,AVARAGE,,UKMO,AVARAGE,
